"rown","subject_id","Session","Run","Max.PSC","TrialID","TrialNr","Target","Control","BaselineMean","ImageryMean","FB","InitRating","FinalRating","RtSelfRating","ControlRating","InitialConf","FinalConf","RtConfidence","ControlConf","VolumeStart"
"908",8,1,1,1.77,7,7,2,1,402,410,11,3,5,585,5,2,2,1202,2,348
"909",8,1,1,1.77,8,8,2,0,403,409,8,4,8,1370,3,6,6,1103,3,397
"910",8,1,1,1.77,9,9,2,0,399,409,12,3,9,1471,6,5,7,602,9,448
"911",8,1,2,1.77,0,0,1,0,403,409,8,9,7,1136,1,7,5,1069,3,0
"912",8,1,2,1.77,1,1,2,0,402,409,10,4,9,1504,7,7,5,1502,2,50
"913",8,1,2,1.77,2,2,1,0,400,408,11,9,6,985,2,7,4,1936,1,100
"914",8,1,2,1.77,3,3,2,0,406,408,3,5,10,1336,1,7,5,1170,2,148
"915",8,1,2,1.77,4,4,1,0,405,409,6,5,6,1185,5,4,4,703,7,199
"916",8,1,2,1.77,5,5,2,0,401,409,11,7,8,469,10,8,5,1087,5,248
"917",8,1,2,1.77,6,6,2,0,398,407,12,9,10,270,2,5,4,436,9,299
"918",8,1,2,1.77,7,7,1,0,403,409,8,4,5,518,10,3,6,1469,1,351
"919",8,1,2,1.77,8,8,2,0,401,408,10,9,10,436,3,4,6,803,3,399
"920",8,1,2,1.77,9,9,1,1,400,408,11,4,10,2387,10,5,7,1502,7,450
"921",8,1,3,1.77,0,0,1,0,404,407,4,3,5,1336,9,6,5,869,6,0
"922",8,1,3,1.77,1,1,1,0,402,408,8,6,6,1218,5,4,5,736,3,50
"923",8,1,3,1.77,2,2,2,0,402,409,10,7,10,1136,1,7,5,1836,4,99
"924",8,1,3,1.77,3,3,2,0,402,408,8,8,9,652,11,4,6,668,8,148
"925",8,1,3,1.77,4,4,2,0,407,408,1,6,8,703,10,7,5,1103,9,196
"926",8,1,3,1.77,5,5,1,0,402,408,8,7,5,735,8,7,5,1170,4,248
"927",8,1,3,1.77,6,6,2,1,401,407,8,8,4,1919,4,6,4,1704,4,299
"928",8,1,3,1.77,7,7,1,0,400,408,11,6,5,369,3,7,6,701,7,349
"929",8,1,3,1.77,8,8,2,0,401,409,11,4,9,1285,7,7,6,469,2,399
"930",8,1,3,1.77,9,9,1,0,398,407,12,9,5,1170,4,3,6,1037,4,448
"931",8,1,4,1.77,0,0,2,0,406,409,4,6,8,718,3,6,4,1236,9,0
"932",8,1,4,1.77,1,1,1,1,400,408,11,9,11,2153,11,7,9,1069,9,49
"933",8,1,4,1.77,2,2,2,0,400,409,12,9,7,769,10,7,4,1502,5,97
"934",8,1,4,1.77,3,3,1,0,400,407,10,5,7,736,7,4,6,936,7,147
"935",8,1,4,1.77,4,4,2,0,401,407,8,9,8,785,9,5,4,1070,8,199
"936",8,1,4,1.77,5,5,1,0,401,408,10,6,7,651,3,3,5,935,2,250
"937",8,1,4,1.77,6,6,2,0,397,406,12,7,9,1069,1,7,5,636,4,298
"938",8,1,4,1.77,7,7,1,0,397,404,10,3,5,885,3,5,4,2671,6,349
"939",8,1,4,1.77,8,8,1,0,402,406,6,5,5,636,8,4,3,1203,7,398
"940",8,1,4,1.77,9,9,2,0,402,407,7,5,8,903,1,8,5,902,2,448
"941",8,1,5,1.77,0,0,1,0,400,405,7,6,5,518,4,4,5,368,6,0
"942",8,1,5,1.77,1,1,1,0,400,404,6,4,6,769,9,5,5,736,3,48
"943",8,1,5,1.77,2,2,2,1,404,405,1,6,3,2186,3,2,6,1835,6,99
"944",8,1,5,1.77,3,3,2,0,399,406,10,5,8,736,2,6,5,937,5,148
"945",8,1,5,1.77,4,4,2,0,402,406,6,9,8,269,1,7,6,802,9,199
"946",8,1,5,1.77,5,5,1,0,401,408,10,3,5,635,1,7,5,1402,6,250
"947",8,1,5,1.77,6,6,1,0,397,404,10,8,6,885,5,6,4,669,8,299
"948",8,1,5,1.77,7,7,1,0,404,409,7,5,7,602,9,2,5,1169,3,348
"949",8,1,5,1.77,8,8,2,0,401,406,7,9,8,503,6,5,5,736,6,398
"950",8,1,5,1.77,9,9,2,0,395,404,12,5,8,1586,10,4,5,568,4,450
"951",8,1,6,1.77,0,0,2,0,403,406,4,3,8,1169,3,4,5,836,4,0
"952",8,1,6,1.77,1,1,2,0,401,406,7,4,8,1303,2,2,5,936,8,51
"953",8,1,6,1.77,2,2,1,0,402,405,4,5,7,1752,11,4,6,636,5,103
"954",8,1,6,1.77,3,3,1,0,400,405,7,8,6,635,5,2,5,968,9,152
"955",8,1,6,1.77,4,4,1,1,399,406,10,6,6,2453,6,3,6,1102,6,201
"956",8,1,6,1.77,5,5,1,0,398,405,10,3,7,885,10,3,6,1970,7,250
"957",8,1,6,1.77,6,6,2,0,398,406,11,9,8,618,8,2,5,1003,3,300
"958",8,1,6,1.77,7,7,2,0,399,406,10,3,8,1203,8,2,5,1470,7,349
"959",8,1,6,1.77,8,8,2,0,398,407,12,3,9,1752,10,8,5,1002,4,401
"960",8,1,6,1.77,9,9,1,0,400,406,8,8,6,1137,10,4,5,468,6,449
"961",8,2,7,2.01,0,0,1,0,423,429,7,4,5,585,6,6,5,601,3,0
"962",8,2,7,2.01,1,1,1,0,424,427,4,8,5,1419,7,7,6,702,7,49
"963",8,2,7,2.01,2,2,2,0,423,427,5,5,8,1203,5,6,5,420,8,99
"964",8,2,7,2.01,3,3,1,0,424,427,4,8,5,1251,7,7,5,801,1,150
"965",8,2,7,2.01,4,4,2,0,420,426,7,4,9,1670,8,6,5,601,1,198
"966",8,2,7,2.01,5,5,1,0,413,424,12,4,7,1203,3,4,6,736,2,248
"967",8,2,7,2.01,6,6,1,0,418,426,10,9,7,1185,7,2,6,1402,5,299
"968",8,2,7,2.01,7,7,2,1,418,423,6,9,4,1870,4,6,7,601,7,348
"969",8,2,7,2.01,8,8,2,0,418,426,10,5,8,2171,6,5,6,602,4,397
"970",8,2,7,2.01,9,9,2,0,417,425,10,8,10,1036,9,4,6,2036,6,448
"971",8,2,8,2.01,0,0,1,0,423,426,4,5,5,669,4,6,6,669,1,0
"972",8,2,8,2.01,1,1,2,0,420,428,9,3,8,1803,4,2,5,1502,7,50
"973",8,2,8,2.01,2,2,1,0,423,428,6,5,6,751,7,4,6,1169,2,100
"974",8,2,8,2.01,3,3,2,0,424,429,6,4,9,1786,9,6,6,769,1,148
"975",8,2,8,2.01,4,4,1,0,417,429,12,5,7,651,2,6,5,502,6,199
"976",8,2,8,2.01,5,5,2,0,420,428,9,7,9,602,11,4,6,1370,2,248
"977",8,2,8,2.01,6,6,2,0,421,430,11,5,10,1337,9,2,5,1087,9,299
"978",8,2,8,2.01,7,7,1,0,419,427,9,9,7,1452,9,2,6,1302,9,351
"979",8,2,8,2.01,8,8,2,0,419,429,12,7,9,736,10,4,6,702,2,399
"980",8,2,8,2.01,9,9,1,1,425,428,4,3,10,2253,10,6,9,1536,9,450
"981",8,2,9,2.01,0,0,1,0,418,424,7,4,7,819,10,7,4,1069,4,0
"982",8,2,9,2.01,1,1,1,0,422,425,4,7,7,1252,10,4,5,336,9,50
"983",8,2,9,2.01,2,2,2,0,418,427,11,8,8,1336,10,4,5,301,7,99
"984",8,2,9,2.01,3,3,2,0,422,428,7,6,10,1252,4,4,6,668,7,148
"985",8,2,9,2.01,4,4,2,0,420,428,9,9,8,503,10,5,6,1070,4,196
"986",8,2,9,2.01,5,5,1,0,420,428,9,5,7,552,5,4,6,1103,3,248
"987",8,2,9,2.01,6,6,2,1,422,428,7,6,7,418,7,8,1,2605,1,299
"988",8,2,9,2.01,7,7,1,0,419,427,9,7,7,803,7,7,6,568,4,349
"989",8,2,9,2.01,8,8,2,0,425,429,5,8,9,652,1,8,5,1503,8,399
"990",8,2,9,2.01,9,9,1,0,427,428,1,4,7,1303,8,5,5,903,1,448
"991",8,2,10,2.01,0,0,2,0,416,421,6,3,8,1719,10,7,5,1003,9,0
"992",8,2,10,2.01,1,1,1,1,414,421,8,4,3,684,3,5,9,2102,9,49
"993",8,2,10,2.01,2,2,2,0,418,426,10,6,8,703,11,4,6,1002,3,97
"994",8,2,10,2.01,3,3,1,0,419,427,9,4,7,803,11,4,5,353,7,147
"995",8,2,10,2.01,4,4,2,0,422,427,6,6,8,769,5,4,4,703,9,199
"996",8,2,10,2.01,5,5,1,0,417,426,11,7,7,1152,1,2,6,2169,3,250
"997",8,2,10,2.01,6,6,2,0,417,425,10,9,8,502,6,6,5,903,4,298
"998",8,2,10,2.01,7,7,1,0,414,419,6,4,7,885,6,3,4,903,2,349
"999",8,2,10,2.01,8,8,1,0,420,426,7,5,6,3271,11,7,4,1303,7,398
"1000",8,2,10,2.01,9,9,2,0,419,424,6,7,10,836,7,8,5,1902,8,448
"1001",8,2,11,2.01,0,0,1,0,419,424,6,4,7,1786,11,4,5,567,8,0
"1002",8,2,11,2.01,1,1,1,0,422,427,6,4,6,836,5,5,5,920,2,48
"1003",8,2,11,2.01,2,2,2,1,417,426,11,7,11,1119,11,2,4,1202,4,99
"1004",8,2,11,2.01,3,3,2,0,419,426,8,3,10,1853,4,8,5,1037,1,148
"1005",8,2,11,2.01,4,4,2,0,419,425,7,7,10,769,7,7,6,835,7,199
"1006",8,2,11,2.01,5,5,1,0,419,426,8,3,7,3104,5,8,4,1302,6,250
"1007",8,2,11,2.01,6,6,1,0,418,425,8,8,7,752,7,2,5,869,5,299
"1008",8,2,11,2.01,7,7,1,0,416,425,11,9,6,1637,8,7,5,835,2,348
"1009",8,2,11,2.01,8,8,2,0,418,424,7,4,8,1070,2,3,5,870,6,398
"1010",8,2,11,2.01,9,9,2,0,418,426,10,6,10,3120,5,5,6,502,3,450
"1011",8,2,12,2.01,0,0,2,0,410,419,11,3,8,1703,11,4,5,336,1,0
"1012",8,2,12,2.01,1,1,2,0,415,423,10,3,10,1703,8,7,6,836,3,51
"1013",8,2,12,2.01,2,2,1,0,413,421,10,3,7,1352,2,8,5,1570,5,103
"1014",8,2,12,2.01,3,3,1,0,415,423,10,4,7,1036,10,6,4,601,4,152
"1015",8,2,12,2.01,4,4,1,1,412,422,12,3,5,718,5,8,5,1469,5,201
"1016",8,2,12,2.01,5,5,1,0,410,420,12,9,7,1002,10,8,4,1069,9,250
"1017",8,2,12,2.01,6,6,2,0,416,424,10,6,10,1119,8,6,5,869,8,300
"1018",8,2,12,2.01,7,7,2,0,413,422,11,5,10,1170,5,6,6,903,7,349
"1019",8,2,12,2.01,8,8,2,0,414,423,11,6,9,918,11,4,6,668,9,401
"1020",8,2,12,2.01,9,9,1,0,414,421,8,3,5,1137,4,3,5,735,5,449
"1021",8,3,13,2.29,0,0,1,0,425,430,5,3,5,885,7,8,5,1202,8,0
"1022",8,3,13,2.29,1,1,1,0,426,431,5,4,7,752,3,3,5,936,5,49
"1023",8,3,13,2.29,2,2,2,0,424,431,7,3,8,1003,10,4,4,703,3,99
"1024",8,3,13,2.29,3,3,1,0,424,430,6,5,6,418,2,4,6,1102,4,150
"1025",8,3,13,2.29,4,4,2,0,424,431,7,8,10,503,7,8,4,1202,6,198
"1026",8,3,13,2.29,5,5,1,0,423,432,9,8,6,852,3,2,6,1136,7,248
"1027",8,3,13,2.29,6,6,1,0,425,429,4,8,7,985,8,7,5,636,1,299
"1028",8,3,13,2.29,7,7,2,1,422,431,9,6,3,1103,3,5,3,1669,3,348
"1029",8,3,13,2.29,8,8,2,0,427,434,7,7,8,536,3,3,5,669,7,397
"1030",8,3,13,2.29,9,9,2,0,426,434,8,6,8,536,8,3,5,669,2,448
"1031",8,3,14,2.29,0,0,1,0,422,428,6,8,5,1069,8,4,5,369,5,0
"1032",8,3,14,2.29,1,1,2,0,422,432,10,6,8,637,5,4,5,401,1,50
"1033",8,3,14,2.29,2,2,1,0,425,430,5,5,6,484,4,2,6,1302,2,100
"1034",8,3,14,2.29,3,3,2,0,422,433,11,8,8,636,10,5,5,653,6,148
"1035",8,3,14,2.29,4,4,1,0,420,428,8,8,7,652,1,6,4,602,4,199
"1036",8,3,14,2.29,5,5,2,0,424,431,7,6,8,769,1,2,5,936,3,248
"1037",8,3,14,2.29,6,6,2,0,422,430,8,4,8,870,9,8,5,1837,9,299
"1038",8,3,14,2.29,7,7,1,0,421,429,8,3,7,1018,2,5,5,1636,2,351
"1039",8,3,14,2.29,8,8,2,0,419,430,11,4,9,1370,6,8,5,1769,3,399
"1040",8,3,14,2.29,9,9,1,1,421,426,5,8,11,1520,11,8,1,2536,1,450
"1041",8,3,15,2.29,0,0,1,0,418,425,7,9,6,835,9,2,5,1469,3,0
"1042",8,3,15,2.29,1,1,1,0,420,426,6,5,7,552,9,4,5,502,8,50
"1043",8,3,15,2.29,2,2,2,0,420,429,9,4,9,1403,4,7,5,1135,2,99
"1044",8,3,15,2.29,3,3,2,0,419,428,9,8,9,685,1,8,6,1502,6,148
"1045",8,3,15,2.29,4,4,2,0,424,428,4,3,9,1203,4,4,6,1070,7,196
"1046",8,3,15,2.29,5,5,1,0,418,426,8,3,5,702,8,4,5,503,3,248
"1047",8,3,15,2.29,6,6,2,1,419,427,8,7,6,952,6,5,9,1321,9,299
"1048",8,3,15,2.29,7,7,1,0,418,426,8,5,7,536,4,8,4,1302,9,349
"1049",8,3,15,2.29,8,8,2,0,416,427,12,8,9,351,7,7,6,869,4,399
"1050",8,3,15,2.29,9,9,1,0,417,426,9,7,7,569,10,5,5,2438,7,448
"1051",8,3,16,2.29,0,0,2,0,420,428,8,5,8,784,7,7,5,769,3,0
"1052",8,3,16,2.29,1,1,1,1,418,427,9,7,11,1886,11,3,8,1802,8,49
"1053",8,3,16,2.29,2,2,2,0,421,429,8,9,8,636,6,8,5,1269,4,97
"1054",8,3,16,2.29,3,3,1,0,420,427,7,7,7,603,1,5,5,770,5,147
"1055",8,3,16,2.29,4,4,2,0,418,428,10,7,9,502,4,6,6,1054,6,199
"1056",8,3,16,2.29,5,5,1,0,420,427,7,3,5,684,5,5,5,868,8,250
"1057",8,3,16,2.29,6,6,2,0,419,427,8,7,9,502,9,6,4,636,4,298
"1058",8,3,16,2.29,7,7,1,0,416,420,4,5,5,1152,10,3,5,635,7,349
"1059",8,3,16,2.29,8,8,1,0,415,423,8,4,7,852,10,2,5,2470,9,398
"1060",8,3,16,2.29,9,9,2,0,415,423,8,3,8,1470,5,5,5,835,2,448
"1061",8,3,17,2.29,0,0,1,0,421,427,6,3,7,2953,11,8,5,869,9,0
"1062",8,3,17,2.29,1,1,1,0,419,426,7,6,6,835,7,6,6,936,9,48
"1063",8,3,17,2.29,2,2,2,1,421,429,8,6,9,719,9,2,8,1769,8,99
"1064",8,3,17,2.29,3,3,2,0,420,430,10,4,9,1036,3,2,5,803,4,148
"1065",8,3,17,2.29,4,4,2,0,419,430,11,3,8,937,8,5,6,769,8,199
"1066",8,3,17,2.29,5,5,1,0,420,428,8,9,5,952,2,8,5,1001,6,250
"1067",8,3,17,2.29,6,6,1,0,419,427,8,3,6,685,7,7,5,1136,4,299
"1068",8,3,17,2.29,7,7,1,0,419,427,8,7,7,804,8,2,5,869,6,348
"1069",8,3,17,2.29,8,8,2,0,420,429,9,3,9,1103,1,8,4,1103,3,398
"1070",8,3,17,2.29,9,9,2,0,419,429,10,8,9,618,7,8,5,769,7,450
"1071",8,3,18,2.29,0,0,2,0,418,426,8,7,9,536,7,8,5,1220,8,0
"1072",8,3,18,2.29,1,1,2,0,418,425,7,8,10,636,4,5,6,820,7,51
"1073",8,3,18,2.29,2,2,1,0,414,424,11,5,7,1151,4,6,5,902,7,103
"1074",8,3,18,2.29,3,3,1,0,418,425,7,8,7,535,3,5,4,568,2,152
"1075",8,3,18,2.29,4,4,1,1,419,425,6,7,4,984,4,2,4,936,4,201
"1076",8,3,18,2.29,5,5,1,0,418,424,6,7,6,835,10,3,5,635,6,250
"1077",8,3,18,2.29,6,6,2,0,417,426,9,8,8,885,3,3,5,602,5,300
"1078",8,3,18,2.29,7,7,2,0,419,427,8,8,9,502,10,7,6,854,2,349
"1079",8,3,18,2.29,8,8,2,0,418,428,10,9,9,584,3,5,5,901,3,401
"1080",8,3,18,2.29,9,9,1,0,420,425,5,7,6,503,2,6,5,768,1,449

